station_id,month,n,n_outlier,pct_outlier,q1,q3,lo,hi
96595,1,281.0,0.0,0.0,28.9,31.8,24.549999999999997,36.150000000000006
96595,2,254.0,2.0,0.7874015748031495,29.0,31.7,24.950000000000003,35.75
96595,3,279.0,8.0,2.867383512544803,29.6,32.0,26.000000000000004,35.599999999999994
96595,4,270.0,12.0,4.444444444444445,30.0,32.375,26.4375,35.9375
96595,5,279.0,15.0,5.376344086021505,30.4,32.6,27.099999999999994,35.900000000000006
96595,6,270.0,12.0,4.444444444444445,30.025,32.0,27.062499999999996,34.962500000000006
96595,7,279.0,17.0,6.093189964157706,29.95,31.9,27.025,34.824999999999996
96595,8,279.0,15.0,5.376344086021505,30.0,32.1,26.849999999999998,35.25
96595,9,270.0,7.0,2.5925925925925926,30.225,32.4,26.962500000000006,35.662499999999994
96595,10,279.0,10.0,3.584229390681003,30.55,32.7,27.324999999999996,35.925000000000004
96595,11,270.0,10.0,3.7037037037037033,30.125,32.4,26.712500000000002,35.8125
96595,12,279.0,8.0,2.867383512544803,29.8,32.0,26.5,35.3
96645,1,281.0,22.0,7.829181494661921,29.8,31.9,26.650000000000006,35.05
96645,2,254.0,13.0,5.118110236220472,30.0,32.0,27.0,35.0
96645,3,260.0,22.0,8.461538461538462,30.0,32.2,26.699999999999996,35.50000000000001
96645,4,259.0,22.0,8.494208494208493,30.6,32.4,27.900000000000006,35.099999999999994
96645,5,273.0,28.0,10.256410256410255,30.8,32.4,28.400000000000006,34.8
96645,6,268.0,21.0,7.835820895522389,30.0,31.9,27.150000000000002,34.75
96645,7,279.0,17.0,6.093189964157706,29.8,31.4,27.400000000000006,33.8
96645,8,279.0,19.0,6.810035842293908,30.2,31.8,27.799999999999997,34.2
96645,9,270.0,26.0,9.62962962962963,30.4,32.2,27.699999999999992,34.900000000000006
96645,10,279.0,21.0,7.526881720430108,30.45,32.55,27.300000000000004,35.699999999999996
96645,11,270.0,19.0,7.037037037037037,30.0,32.6,26.099999999999998,36.5
96645,12,279.0,22.0,7.885304659498208,30.1,32.2,26.95,35.35000000000001
96651,1,281.0,14.0,4.98220640569395,30.2,32.0,27.5,34.7
96651,2,254.0,12.0,4.724409448818897,29.85,31.9,26.775000000000006,34.974999999999994
96651,3,279.0,10.0,3.584229390681003,30.05,32.4,26.525000000000006,35.925
96651,4,270.0,13.0,4.814814814814815,30.625,32.6,27.662499999999998,35.5625
96651,5,279.0,21.0,7.526881720430108,30.9,32.6,28.349999999999994,35.150000000000006
96651,6,270.0,19.0,7.037037037037037,30.5,32.1,28.099999999999998,34.5
96651,7,279.0,29.0,10.39426523297491,30.5,31.8,28.549999999999997,33.75
96651,8,279.0,22.0,7.885304659498208,30.65,32.1,28.474999999999994,34.275000000000006
96651,9,270.0,22.0,8.148148148148149,30.8,32.5,28.25,35.05
96651,10,279.0,15.0,5.376344086021505,30.7,32.95,27.324999999999996,36.32500000000001
96651,11,270.0,13.0,4.814814814814815,30.3,32.7,26.699999999999996,36.300000000000004
96651,12,279.0,16.0,5.734767025089606,30.6,32.3,28.050000000000008,34.849999999999994
96653,1,280.0,1.0,0.35714285714285715,29.4,31.8,25.799999999999997,35.400000000000006
96653,2,231.0,7.0,3.0303030303030303,29.6,31.8,26.300000000000004,35.1
96653,3,279.0,7.0,2.5089605734767026,29.8,32.150000000000006,26.27499999999999,35.67500000000001
96653,4,270.0,10.0,3.7037037037037033,30.0,32.5,26.25,36.25
96653,5,279.0,14.0,5.017921146953405,30.6,32.8,27.300000000000008,36.099999999999994
96653,6,270.0,21.0,7.777777777777778,30.325,32.0,27.8125,34.5125
96653,7,279.0,11.0,3.942652329749104,30.0,32.0,27.0,35.0
96653,8,279.0,8.0,2.867383512544803,30.35,32.2,27.575,34.97500000000001
96653,9,270.0,11.0,4.074074074074074,30.2,32.3,27.050000000000004,35.449999999999996
96653,10,279.0,12.0,4.301075268817205,30.6,32.8,27.300000000000008,36.099999999999994
96653,11,270.0,6.0,2.2222222222222223,30.1,32.5,26.500000000000004,36.099999999999994
96653,12,279.0,12.0,4.301075268817205,30.0,32.0,27.0,35.0
96655,1,281.0,7.0,2.491103202846975,29.4,31.7,25.949999999999996,35.15
96655,2,254.0,6.0,2.3622047244094486,29.424999999999997,31.9,25.712499999999995,35.6125
96655,3,279.0,14.0,5.017921146953405,29.8,32.0,26.5,35.3
96655,4,270.0,12.0,4.444444444444445,30.2,32.4,26.9,35.699999999999996
96655,5,279.0,18.0,6.451612903225806,31.0,32.7,28.449999999999996,35.25000000000001
96655,6,270.0,8.0,2.9629629629629632,30.3,32.375,27.1875,35.4875
96655,7,279.0,22.0,7.885304659498208,30.55,32.1,28.225,34.425000000000004
96655,8,279.0,15.0,5.376344086021505,30.9,32.6,28.349999999999994,35.150000000000006
96655,9,270.0,18.0,6.666666666666667,30.825,32.8,27.862500000000004,35.762499999999996
96655,10,279.0,13.0,4.659498207885305,30.8,32.9,27.650000000000006,36.05
96655,11,270.0,9.0,3.3333333333333335,30.0,32.675000000000004,25.987499999999994,36.687500000000014
96655,12,279.0,15.0,5.376344086021505,30.25,32.2,27.324999999999996,35.12500000000001
