station_id,ffmc_pred,month
96595,73.52799,1
96595,72.13936,2
96595,69.85322,3
96595,75.88152,4
96595,74.99318,5
96595,74.96657,6
96595,77.4042,7
96595,77.8722,8
96595,80.0644,9
96595,78.787415,10
96595,76.41467,11
96595,71.80575,12
96645,77.50663,1
96645,75.93237,2
96645,72.17979,3
96645,75.45176,4
96645,78.91667,5
96645,78.709564,6
96645,78.38224,7
96645,82.171974,8
96645,82.27822,9
96645,79.3971,10
96645,75.58193,11
96645,75.24677,12
96651,76.18582,1
96651,73.88872,2
96651,70.604866,3
96651,76.07143,4
96651,77.118126,5
96651,81.306404,6
96651,77.15102,7
96651,83.87114,8
96651,81.486176,9
96651,78.66684,10
96651,75.77722,11
96651,71.50959,12
96653,77.10933,1
96653,74.377144,2
96653,73.68631,3
96653,75.01079,4
96653,78.44917,5
96653,80.53555,6
96653,79.82023,7
96653,82.86426,8
96653,83.04876,9
96653,81.70469,10
96653,78.034744,11
96653,73.88708,12
96655,75.34285,1
96655,75.29138,2
96655,73.72444,3
96655,75.61225,4
96655,80.89561,5
96655,81.210335,6
96655,79.20898,7
96655,84.5826,8
96655,83.18187,9
96655,81.98301,10
96655,78.48245,11
96655,75.52102,12
